title,price,old_price,discount_percent,discount_label,deal_type,unit,url,scraped_at
250 g Pistachenoten,2.49,3.09,19,Lidl Plus (-19%),Member Deal,,https://www.lidl.nl/p/250-g-pistachenoten/p10023619,2026-02-15
Red Band,1.99,1.99,0,,Standard,,https://www.lidl.nl/p/red-band/p10023621,2026-02-15
Kinder of Nutella chocolade,2.29,2.29,0,,Standard,Prijsvoorbeeld: Kinderini. Actieprijzen variÃ«ren van â¬2.29 - â¬5.89.,https://www.lidl.nl/p/kinder-of-nutella-chocolade/p10023622,2026-02-15
Heineken of Affligem,4.49,4.49,0,,Standard,Prijsvoorbeeld: Heineken pils. Actieprijs Affligem â¬6.79.,https://www.lidl.nl/p/heineken-of-affligem/p10023623,2026-02-15
Heineken 0.0 of Affligem 0.0,2.99,2.99,0,,Standard,Prijsvoorbeeld: Heineken 0.0. Actieprijs Affligem 0.0 â¬4.29.,https://www.lidl.nl/p/heineken-0-0-of-affligem-0-0/p10023624,2026-02-15
Monster energy drink,1.29,1.29,0,,Standard,,https://www.lidl.nl/p/monster-energy-drink/p10023625,2026-02-15
Doritos,1.69,1.69,0,,Standard,,https://www.lidl.nl/p/doritos/p10023626,2026-02-15
Diverse Italiaanse rode wijnen,2.24,2.24,0,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/diverse-italiaanse-rode-wijnen/p10023627,2026-02-15
Vloeibaar wasmiddel,4.99,4.99,0,,Standard,,https://www.lidl.nl/p/vloeibaar-wasmiddel/p10023628,2026-02-15
Papieren zakdoekjes,4.99,4.99,0,,Standard,,https://www.lidl.nl/p/papieren-zakdoekjes/p10023629,2026-02-15
Lenor geurparels,4.99,4.99,0,,Standard,,https://www.lidl.nl/p/lenor-geurparels/p10023631,2026-02-15
Camelia,9.99,9.99,0,,Standard,,https://www.lidl.nl/p/camelia/p10023633,2026-02-15
Kamerplantenmix in pot,2.49,2.49,0,,Standard,,https://www.lidl.nl/p/kamerplantenmix-in-pot/p10023635,2026-02-15
Rhododendron,6.99,6.99,0,,Standard,,https://www.lidl.nl/p/rhododendron/p10023634,2026-02-15
Narcissen in zinkenemmer,3.59,3.59,0,,Standard,,https://www.lidl.nl/p/narcissen-in-zinkenemmer/p10023636,2026-02-15
"Bloem-, groente en kruidenzaden",0.29,0.29,0,,Standard,,https://www.lidl.nl/p/bloem-groente-en-kruidenzaden/p10023637,2026-02-15
Zomer- of najaarsbloeiers,2.49,2.49,0,,Standard,Prijsvoorbeeld: Bloembollen najaarsbloeiers. Actieprijzen variÃ«ren van â¬2.49 - â¬5.99.,https://www.lidl.nl/p/zomer-of-najaarsbloeiers/p10023638,2026-02-15
Fruitboom,1.99,1.99,0,,Standard,,https://www.lidl.nl/p/fruitboom/p10023639,2026-02-15
"Bessenstruik, sierstruik of notenboom",1.99,1.99,0,,Standard,Prijsvoorbeeld: Bessenstruik. Prijzen variÃ«ren van â¬1.99 - â¬4.99.,https://www.lidl.nl/p/bessenstruik-sierstruik-of-notenboom/p10023640,2026-02-15
Mini stamroos,4.99,4.99,0,,Standard,,https://www.lidl.nl/p/mini-stamroos/p10023641,2026-02-15
Veltins bier,0.89,1.19,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/veltins-bier/p10023642,2026-02-15
Pizza,3.89,4.89,20,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/pizza/p10023643,2026-02-15
Robijn wasverzachter,2.99,8.29,64,Lidl Plus (Tot -64%),Member Deal,,https://www.lidl.nl/p/robijn-wasverzachter/p10023644,2026-02-15
Haribomix,3.29,4.09,20,Lidl Plus (-19%),Member Deal,,https://www.lidl.nl/p/haribomix/p10023645,2026-02-15
Pitloze witte of rode druiven,1.19,2.39,50,Lidl Plus (-50%),Member Deal,,https://www.lidl.nl/p/pitloze-witte-of-rode-druiven/p10023646,2026-02-15
